B6_25_01215	B6_25_01216	B6_25_01217	B6_26_01218	B6_26_01219	B6_26_01220	B6_42_01884	B6_42_01885	B6_42_01886	NOD_JAG012_01224	NOD_JAG012_01225	NOD_JAG012_01226	NOD_JAG018_01896	NOD_JAG018_01897	NOD_JAG018_01898	NOD_JAG020_01899	NOD_JAG020_01900	NOD_JAG020_01901	PWD_AC398_01887	PWD_AC398_01888	PWD_AC398_01889	PWD_AC401_01890	PWD_AC401_01891	PWD_AC401_01892	PWD_AC403_01893	PWD_AC403_01894	PWD_AC403_01895
ENSMUSG00000000001	112.535066142356	140.261493312501	121.564220245392	77.0040425156962	93.8342456051544	58.7243036012092	66.4046315322025	112.296179534915	94.3051268799849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028	55.3779851191016	45.7743386953989	58.8763009301201	30.884546736004	27.3522977410946	25.4322813282266	28.632266982868	22.5593833706327	35.6408757498432	2.99968629293214	2.08383377028027	3.08982080163855	2.01157396772162	2.60784171212516	1.90408602129699	3.52060511383172	1.91842881460895	2.39692945201708	1.64430195837599	2.52104543832696	2.35768129415499	2.19932946493516	1.58293000237279	2.07151671529163	2.65672115354341	2.57157153665582	2.13430647778167
ENSMUSG00000000031	360.837161283161	268.873985617807	351.202900664147	257.288048724296	454.737677766351	205.822051314402	235.97715356565	282.103623178869	221.285721973156	13.9935579662046	9.08412748747959	12.2449884278949	9.98458347700255	14.5431719635023	12.4777587064259	18.0452584575492	8.96111578192464	21.2900941685853	8.096030454762	8.13066494038013	6.02468843707786	4.08938091780301	2.84108015071538	6.01188160091383	4.024526816622	5.83347826030574	5.81849222855924
ENSMUSG00000000037	68.8291886071539	65.4031451572611	57.8851483579513	42.1847761967181	46.0892755804868	29.3808316445221	37.7876816596058	35.4579147342827	23.9498221459368	5.79227219433498	4.57832871311971	4.48796759600569	4.59513322364601	6.63529893831121	7.73656737750854	7.9137502238434	6.59044757911436	7.19765777447784	10.4996862098241	6.94448812107593	7.69250363041235	6.72558275064183	4.82449311796091	5.23862918047979	6.93157989857194	6.93239870196567	4.83696569318479
ENSMUSG00000000049	570.553923121037	547.945949658442	359.125493463455	384.411497343151	430.484815911914	533.497425808946	335.529464656276	483.80930320979	420.012402582421	10.990683099051	11.3613953460897	12.0714352512246	7.06653626035576	9.45512468878421	6.36743090468651	9.50903082757925	4.39589513663304	7.38919182290293	12.573885087534	15.6725147218659	14.8593161026227	12.1709436464244	7.20428990242861	12.0706972131135	12.1776711528678	11.1608455039126	12.0440231159277
ENSMUSG00000000056	96.7460622185523	83.1133414295189	74.6769399520607	46.7121402538118	80.4559907714297	55.508936890536	65.3041080271058	90.9792482743687	68.2501925441534	1.78467003538844	1.42422060175907	1.50551701049794	1.41806796460888	1.91123029556647	2.54444528277481	2.62063497085545	1.03241134426411	2.53450797713016	1.97229128306414	5.08337020283863	2.53954385911392	3.91824445628677	1.49932545733363	1.41676036872631	2.56015891200294	1.24762390228284	2.01184678508889
ENSMUSG00000000058	150.571581181908	164.563347263091	139.573163563163	105.988125803795	153.986541610253	132.113384255553	30.9061606698099	23.6505549772721	21.8021557316921	2.20881230446013	0.000382782615566491	3.5093900750434	2.2073724305405	8.55298160819808e-05	6.72015901109778	7.97646380484082	2.95793303956726	1.50018182083623	2.54651917487713	4.76380470751635	5.62152970592905	5.05348927616316	1.29714426461329	0.000218465373201477	4.38293653532367	0.000117123282374986	5.47269800992616
ENSMUSG00000000093	23.5105141991335	28.7298340178043	32.8238492352983	29.4465628822275	26.9938734466267	24.2467239990297	34.5319633173763	57.8439595032662	31.7658593952099	5.50999668376501	4.41318833953249	3.25843013963406	2.31303984667058	2.66569664739242	2.47424759750725	4.11457944335973	1.75163549543924	3.19779112040564	2.65708293221538	4.24603237173288	3.67034652741018	3.7136792849536	2.21721313262291	4.32135227739764	2.46521781142253	2.97240942819132	2.11967839413787
ENSMUSG00000000094	364.352066210754	373.422676979192	368.303766545918	335.027023908806	405.529457569084	255.346217889956	315.52151499114	425.944276626218	323.229515441901	6.68289844642159	5.25041502773503	4.73918847955863	4.15496501782332	3.82730198468982	4.05168764804955	5.37432821745745	3.63551027290232	5.55960747281954	1.84756766499327	3.46979981560798	2.84065363303729	5.82835077848202	0.908028221724085	2.00462549634124	3.70690615860365	2.27996497416782	2.23505108384465
ENSMUSG00000000103	35.184693078093	32.0767926939479	30.6391502729473	34.3375280978127	42.1660423509995	23.5319460122229	29.2767444993621	34.1076390169316	46.7278077770521	0.968471689397823	1.25076871778626	2.49830648349341	0.382024217579365	0.913611503481731	0.465296089003481	1.62564499049149	0	0	1.14145543643735	3.1974642144653	1.48452736378185	2.50306283894399	1.59893398393564	1.92919465745475	1.40156281178007	0.971266756651813	2.29615501374838
ENSMUSG00000000125	591.97732815211	546.110144727152	541.930552750616	570.306102028979	553.017984354681	460.027759806196	369.134912339599	628.104476061013	540.071723085051	0.0307893012857642	0	0.0266026698777562	0	0	0	0	0	0	0	0	0	0.0359785904835384	0	0	0.036765861267609	0	0
